序号,问题现象,问题描述,结论,解决办法,原始网站,备注
143,某局点无线AC（AccessController）+FITAP（FatAP）双链路备份组网中，AP在运行30分钟后规律性掉线，从主AC切换到备AC，然后再被主AC抢占回来。,AP掉线的原因显示为“Licenseisout.”。尽管主备AC均能正常对接licenseserver获取license，且AP能在线，但依然出现规律性的掉线问题。进一步排查发现，对接licenseserver时，缓存license值配置为128，而实际安装的总license数为256。主AC每次上线AP时申请缓存数量的一半（64个license），当AP切换到备AC时，备AC也会进行同样的操作。如果剩余的license少于64个，可能会导致licenseserver上剩余license不足，从而引起AP掉线。,问题的根本原因在于主备AC之间的license共享配置不当。主AC在AP上线时申请了64个license，当AP切换到备AC时，备AC也会申请64个license，但由于license总数为256个，当剩余license少于64个时，会导致主AC上AP数量超过license限制，从而被踢下线。这个过程会反复发生，导致AP规律性掉线。,1.删除license共享配置：从AC的配置中删除license共享的相关配置。2.保留对接licenseserver配置：确保主备AC仅对接licenseserver获取license。3.迁移AP到主AC：先在备AC上执行`undolicenseserver`命令，将备AC上的AP迁移到主AC。4.重新配置备AC：确保所有license分配给主AC后，再重新为备AC配置上licenseserver。通过上述步骤，可以避免主备AC之间license分配不足的问题，从而解决AP规律性掉线的问题。,https://zhiliao.h3c.com/Theme/details/224589,
144,现场结合第三方服务器做Portal认证时，终端认证失败。,"终端用户在输入用户名和密码后，收到认证失败的提示。通过debug查看日志，发现如下报错信息：```*Jul1015:38:24:8322024ZJ-00:DD:B6:XX:XX:XXAC.H3C.WX2520X-LIPORTAL/7/PACKET:Portalsent58bytesofpacket:Type=ack_auth(4),ErrCode=1,IP=175.X.X.X*Jul1015:38:24:8322024ZJ-00:DD:B6:XX:XX:XXAC.H3C.WX2520X-LIPORTAL/7/PACKET:[5TEXTINFO][42][userName:awifiTYMSZ8XXXXisnotexists]```提示信息表明AC（接入控制器）告诉Portal服务器此用户认证请求被拒绝，原因是用户名不存在。进一步调查发现，用户通常以“userid@isp-name”的格式命名，其中“@”后面的部分为ISP域名，设备通过该域名决定将用户归于哪个ISP域。",问题的原因是AC未正确识别用户输入的用户名格式，导致认证请求被拒绝。具体来说，设备未能识别到用户输入的用户名中包含的ISP域名，因此无法将用户归于正确的ISP域进行认证。,1.创建域并添加ISP域名：-登录AC设备的管理界面。-创建一个新域（例如：`domainXwifi`）。-在该域中添加对应的ISP域名（例如：`isp-name`）。2.配置用户名格式：-在创建的域中配置用户名格式，使其支持“userid@isp-name”的格式。-具体命令为：`user-name-formatwithout-domain`。通过上述步骤，设备将能够正确识别用户输入的用户名格式，并将其归于正确的ISP域进行认证，从而解决终端认证失败的问题。,https://zhiliao.h3c.com/Theme/details/227078,
145,：某局点使用WA4320-ACN-E作为胖AP提供无线接入，并开启了802.1X认证以提高安全性。然而，该局点出现了用户重复认证的情况，而其他局点使用相同配置均正常。,"：1.组网及说明：该局点采用WA4320-ACN-E胖AP，配置了802.1X认证。现场已部署多个局点，其他局点均无问题。2.配置检查：检查现场配置，发现与正常局点的配置一致，握手机制已关闭，RADIUS配置也无明显异常。3.关键debug信息：通过收集和查看debug信息，发现计费服务器无响应，具体日志如下：-`RecvMSG,[MsgType=PKTacct_timeoutIndex=36,ulParam3=0]`-`Event:BegintoswitchRADIUSserverwhensending1packet.`-`Event:NoactiveRADIUSserverisavailableforswitchingwhensendingpacket(pkt-flag=1).`-`Freeseed:122in192.168.0.241forUserID:36`-`Error:Accountingservernoresponse.(AAAID=36,Req-ID=0)`",：问题的根本原因是计费服务器无响应，导致RADIUS认证过程中的计费请求无法成功，从而触发了重复认证的问题。,：1.关闭计费配置：将计费配置更改为`none`，具体命令如下：```plaintextdomain802.1xauthenticationlan-accessradius-scheme802.1xauthorizationlan-accessradius-scheme802.1xaccountinglan-accessnone```2.重新测试：重新进行802.1X认证测试，问题得到解决。,https://zhiliao.h3c.com/Theme/details/120834,
146,WAP422S-OASIS在有线直连情况下无法获取到地址。,WAP422S-OASIS设备在普通模式和桥接上级模式下，小贝路由能够提供DHCPServer功能，设备可以正常获取IP地址。但在桥接下级模式下，小贝路由不能提供DHCPServer功能，导致PC等设备关联到小贝路由上无法直接获取IP地址。,设备当前处于桥接下级模式，因此无法通过小贝路由获取IP地址。需要将设备恢复为普通模式以解决该问题。,1.按下WAP422S-OASIS设备的复位键，持续按压6~30秒（建议10秒以上）。2.重启设备后，检查其是否已恢复为普通模式。3.确认设备模式已恢复正常后，再次尝试有线直连获取IP地址。该案例发表于2020-05-15。,https://zhiliao.h3c.com/Theme/details/112260,
147,某局点在使用S6520X-30QC-EI设备时，尝试配置无线命令以启用融合AC功能，但设备不显示与wlan相关的命令。,1.设备信息：-设备型号：S6520X-30QC-EI-设备版本：R6526及R6615P052.现场情况：-现场设备版本为R6526，查看该版本的说明书确认支持融合AC功能，并且设备已拥有对应的license。-尽管如此，设备仍不支持无线命令配置，怀疑设备可能没有安装融合AC版本。3.进一步排查：-现场升级到最新版本R6615P05后，无线命令仍无法配置。-确认设备已导入AC特性包，但该特性包并不是启动软件包。,设备无法配置无线命令的原因是虽然已升级到支持融合AC功能的版本，但AC特性包没有作为启动软件包加载。因此，需要将AC特性包安装并设置为启动软件包。,1.安装特性包：```shell<H3C>installactivatefeatureflash:/S6520X-CMW710-UWW-R5441P02.binslot1```2.设置下次重启后自动加载特性包：```shell<H3C>installcommit```3.重启设备：```shell<H3C>reboot```-重启设备后，特性包才会生效，从而可以正常配置无线的wlan命令。日期发表日期：2022-04-28修订日期：2022-05-10,https://zhiliao.h3c.com/Theme/details/201171,
148,某据点BBU3120重启后，小区建立UE可进行业务，但单个包若超过1436字节时无法ping通。,1.组网及说明：-核心网——RRPP环网——BBU3120——RRU-基站设备重启后，UE可正常完成上下文的会话建立和注册，说明基本配置没有问题。-业务网络不通，重点查看基站侧。2.详细分析：-UE发起ping1436字节以下的包时，在基站主控板和基带板分别抓包：-主控板可以看到UE发出的request，但没有reply进来。-基带板可以看到reply包，终端显示通。-UE发起1440字节以上的包时，分别抓包观察：-主控板只能看到request发出，无reply回复包。数据包被封成两个，第一个大包未做封装直接发出，第二个分片被封装成GTP发出。-基带板上无任何ICMP相关报文。-交换机上抓核心网S1的双向包，可以看到成对报文的交互，但在基站主控上没有收到。-细致观察发现，每次发出去的request的包源MAC地址与SGI处回过来的包目的MAC地址不一致。回包的目的MAC地址为基站重启前的MAC，而此时发出的request为重启后的MAC。-核心网检查配置发现与基站做了S1的静态ARP绑定，但绑定的基站MAC为设备重启前的，导致回包的目的MAC有误。-1436字节以下的数据包会通，是因为基站内部特殊的转发机制，对小的数据包不上送CPU，直接走转发芯片到基带板处理，读取GTP头内的UE信息发送报文。-1436字节以上的数据包不通，是因为基站会上送主控CPU处理，此时核对表项，若表项错误直接丢弃不做处理。,问题的根本原因在于核心网与基站之间的S1接口静态ARP绑定配置中，核心网绑定的基站MAC地址为设备重启前的MAC地址，而基站重启后S1聚合口的MAC地址发生了变化。导致1436字节以上的大包在主控CPU处理时因MAC地址不匹配被丢弃，而1436字节以下的小包因不经过CPU处理而正常转发。,1.取消静态ARP绑定：取消核心网与基站之间的S1接口静态ARP绑定，让系统自动学习MAC地址。2.更新静态ARP绑定的MAC地址：如果继续使用静态ARP绑定，更新核心网配置中的最新MAC地址，使其与基站重启后的MAC地址一致。2024-08-02修订,https://zhiliao.h3c.com/Theme/details/173302,
149,无线用户在使用过程中频繁出现认证掉线的情况，影响了用户体验。,1.Portal认证掉线：尽管用户设备的WiFi信号仍然存在且可以ping通网关，但bras设备上的portaluser表项被删除，导致认证掉线。2.DM报文分析：通过抓包分析发现，radius服务器发起了大量的DM（DisconnectMessage）报文，导致bras设备删除了用户表项。3.服务器主动发起DM报文的原因：-管理员操作：排除了管理员在服务器上主动踢用户下线的可能性。-在线监测功能：服务器开启了终端在线监测功能，由于无线设备的移动性和特殊性，该功能经常误判用户下线，导致bras删除表项。-防代理功能：服务器开启了防代理功能，可能误判用户行为并踢用户下线，但客户要求不修改该功能。4.切换设备问题：当用户从手机切换到PC上网时，部分手机（如iPhone或较新的安卓手机）会因黑屏自动断开WiFi，后台推送信息时又自动连接。这导致了两种情况：-手机通过无感知上线挤掉PC，使PC断网。-PC侧有流量触发，手机无法打开https页面重定向，表现为“断网”（bras暂时不支持https重定向）。,问题的根本原因是服务器主动踢“多余”用户下线。具体表现为服务器的在线监测功能误判用户下线，以及用户在不同设备间切换时，bras设备无法正确处理多终端同时在线的情况。,1.关闭在线监测功能：与服务器厂家沟通后，关闭了服务器的在线监测功能。2.多终端策略：建议服务器侧对于一个账户实行一台PC、一台手机、允许绑定两个MAC地址的策略，以防止因不必要的终端行为导致被服务器踢下线。3.bras设备升级：考虑升级bras设备，使其支持https重定向，以解决手机无法打开https页面的问题。通过上述措施，可以有效减少无线用户认证掉线的情况，提升用户体验。,https://zhiliao.h3c.com/Theme/details/25161,
150,某局点在无线控制器上启用本地Portal后，设置同一账户的最大连接数限制（access-limit）不生效。具体表现为，STA1连接认证成功后，STA2仍能成功认证，即多个设备可以同时使用同一账户登录，违反了配置的最大连接数限制。,"该局点无线控制器的版本为7.1.064,Release5109P06。在设备上配置了本地Portal用户，并设置了`access-limit1`命令来限制同一账户的最大连接数为1。然而，实际测试发现，即使STA1已经成功连接并认证，STA2仍然能够通过同一账户进行认证并连接网络，导致最大连接数限制未能生效。",经检查，发现`access-limit`命令在本地用户配置中对Telnet等服务类型的限制确实生效，但对于Portal用户却不生效。根据手册描述，`access-limit`命令用于设置使用当前本地用户名接入设备的最大用户数，但实际测试表明，对于Portal用户，该命令需要与ISP域下的`accountingstart-failoffline`命令配合使用。默认情况下，如果用户计费开始请求失败，设备允许用户保持在线状态，这导致了`access-limit`命令无法正常限制Portal用户的连接数。,在ISP域下配置`accountingstart-failoffline`命令，确保如果用户计费开始请求失败，设备不允许用户保持在线状态。具体配置步骤如下：1.进入ISP域配置模式：```shelldomainportal```2.配置用户计费开始失败策略，不允许用户保持在线状态：```shellaccountingstart-failoffline```3.保存配置并重新测试，验证`access-limit`命令是否生效。配置完成后，再次测试发现`access-limit`命令能够正常限制Portal用户的连接数，确保同一账户在同一时间只能有一个设备连接。,https://zhiliao.h3c.com/Theme/details/7175,
151,MSG360-4-PWR系统日志中频繁出现“adminfrom127.0.0.1loginfailed”的错误信息。,该问题出现在系统的内部模块间登录过程中。具体来说，`smart-mc`模块会持续尝试通过`netconf`模块使用内部地址（127.0.0.1）进行登录。然而，由于`smart-mc`中配置的用户名和密码与`local-user`配置不一致，导致登录失败，并且`smart-mc`会不断重试，从而生成大量的错误日志。,问题的根本原因在于`smart-mc`模块与`local-user`模块之间的配置不匹配，特别是用户名和密码的不一致导致了持续的登录失败。,1.如果未使用`smart-mc`功能：-建议关闭`smart-mc`功能，执行命令：`undosmart-mcenable`。2.如果使用了`smart-mc`功能：-确保`local-user`的密码与`smart-mc`中配置的密码一致。可以通过以下步骤进行配置：-检查并修改`local-user`的密码：```bashlocal-useradminclassmanagepasswordhash$h$6$V6Uy+TirqFRdSY1T$qJacuSnSjjmkpwNDh26x5Q9lWX7ZMOdTbzbCePWgia9KYeEszIlL1iMarsOZBroG9nR92BEAv6ZRGVi3aoNK+g==service-typesshtelnetterminalhttphttpsauthorization-attributeuser-rolenetwork-admin```-确认`smart-mc`中配置的用户名和密码：```bashsmart-mcusernameadminpasswordcipher$c$3$pDRGYMhp8BJj9izPGT4VKY1aIJnLUrrC```通过以上方法，可以有效解决`adminfrom127.0.0.1loginfailed`的频繁报错问题。,https://zhiliao.h3c.com/Theme/details/103525,
152,学生使用平行WiFiAPP可以绕过AC（无线控制器）结合IMC（智能管理中心）的Portal认证，直接访问外网。,1.故障设备和版本：WX3520XESS1048P022.初步调查：-在AC和IMC上查询Portal认证表项，发现测试终端确实没有进行Portal认证，但仍然可以访问外网。-查看当前的free-rule配置，发现是通过放通DNS端口来放通DNS报文。3.技术分析：-根据CSDN博客文章（链接：https://blog.csdn.net/deng_xj/article/details/88948791），有三种绕过网络认证实现免验证上网的方法：-方法一：搭建DNS隧道-方法二：搭建VPN服务器-方法三：使用FRP代理,学生使用平行WiFiAPP绕过Portal认证的方式可能是通过上述三种方法之一，特别是通过搭建DNS隧道或使用FRP代理来实现的。,1.修改free-rule配置：-将free-rule配置从放通DNS端口改为基于目的IP放通DNS服务器。2.观察与验证：-修改配置后，观察终端是否仍然能够绕过Portal认证访问外网。-确认问题已解决，终端需要进行Portal认证才能访问外网。通过上述修改，问题得到有效解决，确保了网络访问的合规性和安全性。,https://zhiliao.h3c.com/Theme/details/223708,
153,在使用华为荣耀手机自带的浏览器进行微信认证连接WiFi时，出现了“检测到您PC上使用认证，是否跳转到PC连WIFI页面”的提示。如果用户选择“否”，则可以正常使用WiFi；如果选择“是”，则会弹出要求扫描二维码的页面，这与预期的微信连WIFI下拉弹窗认证效果不符。,AC接入设备型号为WX3520H-F，结合绿洲平台进行微信认证，采用微信连WIFI下拉弹窗的方式。通过FITAP释放无线信号，终端设备接入后满足微信认证连WIFI上网的需求。然而，华为荣耀手机在使用自带浏览器进行认证时，设备误将该浏览器识别为PC，导致推送了PC认证页面，而非手机认证页面。,该问题的根本原因是华为荣耀手机自带浏览器的UserAgent（UA）字符串被服务器误识别为PC设备。UA字符串用于服务器识别客户端的设备类型、操作系统、浏览器版本等信息，某些情况下可能导致页面显示不正确。华为mate8等手机的浏览器中有一个“桌面UA”选项，开启后，浏览器发送的UA会被识别为PC，关闭后则会被识别为手机。该问题在服务器侧暂无法做出区分和修改规避。,1.客户手机配置修改：-指导用户在华为荣耀手机自带浏览器中关闭“桌面UA”选项。-具体步骤如下：-打开华为荣耀手机自带浏览器。-进入设置菜单。-找到“桌面UA”选项。-将其关闭。2.实测效果：-关闭“桌面UA”选项后，华为荣耀手机在进行微信认证连接WiFi时，能够正确识别为手机设备，从而显示手机认证页面，实现微信连WIFI下拉弹窗的认证效果。附加信息发表日期：2017-09-13修订日期：2018-11-13作者：陈少华粉丝数：6人关注数：1人通过以上步骤，用户可以避免因UA字符串误识别而导致的认证问题，确保正常使用微信连WIFI功能。,https://zhiliao.h3c.com/Theme/details/20453,
154,在WX3500X无线控制器（AC）管理的网络中，E2和E3组下的无线接入点（AP）出现不定期掉线的情况，而其他组下的AP正常在线。,组网结构：AC旁挂核心交换机，接入交换机连接AP，终端设备通过AP接入网络。告警信息：E2和E3组下的AP不定期掉线，具体表现为：-E2-APXX：12-2115:09:43、12-2116:06:13、12-2116:06:14-E3-APXX：12-2115:16:36、12-2115:16:40、12-2204:26:38、12-2207:51:51、12-2208:05:53隧道down原因：通过AC诊断发现，E2和E3组下的AP隧道down的原因主要是“Failedtoretransmitmessage”和“ProcessedjoinrequestinRunstate”，这表明CAPWAP协议在重传消息时遇到问题，导致AP与AC之间的链路不稳定。现场排查：E2和E3组下的AP连接到同一台接入交换机，该交换机产生了大量的TC报文，导致ARP超限速。,E2和E3组下的AP不定期掉线的原因是接入交换机产生大量TC报文，导致ARP处理超限速，从而使AC与AP之间的链路不稳定。,现场排除TC报文：通过排查和调整接入交换机的配置，减少TC报文的产生，确保ARP处理能力在正常范围内。后续验证：排除TC报文后，E2和E3组下的AP恢复正常上线，网络稳定运行。希望以上总结对您有帮助。如果您有任何其他问题或需要进一步的建议，请随时反馈。,https://zhiliao.h3c.com/Theme/details/216477,
155,在云简网络平台的“网络管理-终端-终端统计-终端明细-认证终端”页签无法显示已认证的终端信息。,现场使用AC（接入控制器）结合云简网络平台进行固定账号认证时，终端已经通过了认证并可以正常上网。在云简网络平台的“网络管理-终端-终端统计-终端明细-关联终端”页签也能看到已经关联的终端，但在“认证终端”页签无法显示认证终端的信息。进一步检查发现，AC上的`portalmgr`子链接处于`Disconnected`状态，导致云简网络平台无法接收设备上报的部分信息。,问题的原因在于AC与云简网络平台之间的`portalmgr`子链接断开，导致云简网络平台无法获取并显示已认证终端的信息。,1.在业务量较小的时候，登录云简网络平台，重置主连接。2.在AC上使用`displaysysteminternalcloud-managementstate`命令检查`portalmgr`子链接的状态。3.确认`portalmgr`子链接状态已变为`Connected`。4.再次在云简网络平台的“网络管理-终端-终端统计-终端明细-认证终端”页签查看，问题应已解决。日期发表日期：2022-02-23修订日期：2022-03-21作者胡甲聪反馈若您有关于案例的建议，请反馈。,https://zhiliao.h3c.com/Theme/details/194262,
156,：某局点无线配合联软1x认证失败，设备侧在接收到服务器的认证响应报文后没有回应。,：1.在现场进行1x认证时，发现认证失败。2.服务器侧查看日志，发现服务器已发送认证响应报文，但设备侧没有回应。3.通过ac的RADIUS调试日志，发现以下报错：-Dec1915:13:46:3882023H3CRADIUS/7/ERROR:TheresponsepackethasaninvalidResponseAuthenticatorvalue.-Dec1915:13:46:3882023H3CRADIUS/7/ERROR:Thereplypacketisinvalid.,：1.这类错误通常是因为服务器和设备之间的3A密钥配置不一致，导致AC无法正确解析服务器的响应报文。2.现场服务器存在特殊配置，需要在应用场景和特殊参数配置中分别设置3A密钥。,：1.在服务器侧重新配置3A密钥。2.确保在服务器的应用场景配置和特殊参数配置中都正确配置了3A密钥。3.重新进行1x认证测试，问题得以解决。希望这个总结对您有所帮助。如果您有任何其他问题或需要进一步的详细信息，请随时告诉我。,https://zhiliao.h3c.com/Theme/details/223643,
157,终端设备频繁出现下线情况。,下线原因显示为“Reason:APtriggered(kickstationbyfastkeepalive)”，即接入点（AP）触发了快速保持活跃（fastkeepalive）功能，检测到终端空闲后主动将其踢下线。,该现象的直接原因是设备启用了fastkeepalive功能，该功能默认开启。当终端在一定时间内没有通信活动时，AP会认为终端已经不在通信范围内，并主动将其踢下线。理论上，这种操作对终端的正常使用没有影响。,如果确实感觉这个检测功能对终端的正常使用有影响，可以关闭fastkeepalive功能。具体操作方法是在设备的radio视图中执行命令`undodropclientfast-keep-alive`。,https://zhiliao.h3c.com/Theme/details/133446,
158,某局点使用AP48V电源剪去一端的圆插头，引出两根正负极接线，直接连接到LA4320V的电源接口进行供电，结果发现LA4320V上的LTE-FI功能工作不正常。,LA4320V设备的电源接口有三个，分别为负极、ACC延时、正极。现场接线时，只连接了正负极，而未连接ACC延时接口，导致设备无法正常工作。此外，LA4320V设备的整机功耗约为24W，需要保证电源功率大于24W，且电源功率不应虚标，最好预留一定的功率余量。,接线方式不正确是导致LA4320V设备供电失败和LTE-FI功能不正常的主要原因。正确接线方式应包括连接负极、ACC延时和正极接口，以确保设备的正常供电和延时断电功能。,1.正确接线：-负极接口应接电源的负极。-ACC延时接口应接电源的正极。-正极接口应接电源的正极。2.电源功率要求：-电源电压应为9-36VDC。-电源功率应大于24W，以满足LA4320V设备的整机功耗需求。-电源功率不虚标，建议预留一定的功率余量以确保稳定供电。3.接线示例（以汽车为例）：-黑线接地（负极）。-红线接电瓶正极（正极）。-蓝线接钥匙控制的电源正极（ACC延时）。如果不需要延时断电功能，可以将红线和蓝线都接钥匙控制的电源正极，但仍然需要保证黑线接地。通过以上步骤，可以确保LA4320V设备的正常供电和功能运行。,https://zhiliao.h3c.com/Theme/details/17028,
159,在某些情况下，使用Portal逃生功能时，终端用户无法成功逃生，导致无法正常认证或访问网络。,1.PortalWebServer配置为IP地址：如果PortalWebServer的URL配置为IP地址，不涉及DNS解析问题，因此逃生功能正常工作。2.PortalWebServer配置为域名：-52XX版本：-第一步：AP需要先通过DNS服务器解析URL。-第二步：解析完成后，AP发送探测报文以确认服务器状态。-问题：如果DNS服务器未配置或解析失败，AP无法探测服务器状态，直接推认证页面，逃生功能不会生效。-正常情况：如果DNS服务器配置正确且解析成功，但探测报文无回应（服务器挂了），AP会触发逃生功能。-老版本：如果不配置DNS服务器，AP无法感知服务器是否挂了，终端用户无法逃生，也无法进行认证。-54XX版本：必须配置DNS服务器，无论解析失败还是探测不通，AP都会认为服务器不通，直接触发逃生功能。因此，如果不配置DNS服务器，即使服务器正常运行，也会误触发逃生功能。,52XX版本：只有在DNS服务器配置正确且解析成功的情况下，AP才能正确判断服务器状态，触发逃生功能。54XX版本：必须配置DNS服务器，否则即使服务器正常运行，AP也会误触发逃生功能。老版本：如果不配置DNS服务器，AP无法感知服务器状态，逃生功能无法正常工作。,52XX版本：确保AP配置了正确的DNS服务器，以便AP能够解析PortalWebServer的域名并进行状态探测。54XX版本：必须给AP下发正确的DNS配置，以避免误触发逃生功能。老版本：同样需要给AP下发DNS配置，以确保AP能够正确感知服务器状态，实现逃生功能。通过上述措施，可以确保在PortalWebServer配置为域名的情况下，AP能够正确解析和探测服务器状态，从而实现正常的逃生功能。,https://zhiliao.h3c.com/Theme/details/116356,
160,：在某局点，用户反馈iOS手机在Portal环境下息屏后会断开与无线网络的连接，当手机唤醒后又会自动恢复连接。,：1.从AC（无线控制器）日志来看，iOS终端断开连接的reasoncode为8，按照协议，该代码表示终端主动离开网络，而非AC或网络设备的问题。2.Apple设备在息屏状态下会采取自己的节能措施，为了省电，可能会主动断开无线连接。3.安卓设备可以在设置中选择息屏后保持连接，但iOS设备没有这样的设置选项。,：该问题是由于iOS设备内部的省电机制导致的，而非网络设备（如AC、AP等）的原因。通过保持AC、AP等网络设备不变，仅使用苹果手机进行测试，发现当手机不插电源线时，息屏后会断开无线连接；而当手机插上充电线后，息屏后不会断开无线连接，进一步验证了这一结论。,：由于该问题是由iOS设备内部的省电机制引起的，目前没有直接的解决办法。如果需要在息屏后保持无线连接，建议用户在使用iOS设备时保持充电状态。,https://zhiliao.h3c.com/Theme/details/48682,
161,网络管理员在某局点的无线接入点（AP）日志中发现频繁的AP上下线问题，且未观察到明显的下线规律。主AC和备AC的日志显示，AP下线的原因是保活报文超时（NeighborDeadTimerExpire）。,1.日志分析：-主AC和备AC的日志显示，多个AP在短时间内频繁上下线，下线原因均为保活报文超时。-通过IMC提供的AP下线日志，进一步确认了问题AP及其下线时间点。2.初步判断：-由于设备上的logbuff空间有限，有用的信息容易被覆盖，因此先关闭了其他模块的log记录，如WMAC和WMSH模块。-检查AC的丢包信息（drop信息段），未发现大量丢包记录，但怀疑链路问题导致保活报文丢失。3.进一步排查：-查看AC上对应AP的状态，发现多个AP存在较高的EchoResponseLossCount，这表明保活报文丢失严重。-使用AP-LINK-TEST命令在AC的隐藏模式下检测AC与AP之间的连通性，发现确实存在丢包现象。-客户使用与AC同网段的服务器测试到AP网段的连通性，结果与AP-LINK-TEST一致，进一步确认了链路问题。,AP频繁上下线的原因是由于有线链路不稳定导致保活报文丢失，从而使AC判断AP下线。,1.协调现场进行有线链路排查：-有线链路的稳定性是无线网络稳定的基础，需要协调客户进行有线链路的详细排查，找出并解决链路不稳定的具体原因。2.调整AP与AC间的保活间隔：-使用命令`echo-intervalinterval`调整AP与AC间的保活报文发送间隔。默认情况下，AC在三个保活报文未收到时判定AP下线，适当增加保活间隔可以减少由于偶发性丢包导致的AP下线问题。3.开启AP自助存活功能：-如果链路排查困难或无法找到具体原因，可以考虑开启AP的自助存活功能（AP掉线后也能正常工作），以保障无线网络的正常使用。附加信息发表日期：2016-04-25修订日期：2019-06-05反馈：若您有关于案例的建议，请反馈。,https://zhiliao.h3c.com/Theme/details/6679,
162,终端认证问题：多个终端连接网络后，无法通过输入域名进行重定向（包括http和https），但输入IP地址（如1.1.1.1）可以正常重定向。DNS解析失败：PC终端打开www.qq.com时，抓包显示向114.114.114.114发送了DNS解析请求，但未收到回复。,HTTPS重定向问题：ADCampus方案的无线AC在授权下发重定向URL时，不支持https重定向，已提出产品需求，待研发规划实施。HTTP重定向问题：主要集中在“失效用户”再次关联网络时，认证页面无法弹出。新用户第一次接入时，认证页面可以正常弹出，输入IP地址或HTTP网址均能正常跳转。复现条件：-A.问题主要出现在“失效用户”，即初次认证通过后，经过多日网管账号处于失效用户列表状态。-B.“失效用户”在多个AP下测试均能复现，表明AP位置关系不大。-C.远程AP配置查看，各AP下发的free-rule配置一致，排除了因rule规格导致的重定向失败。-D.PC终端抓包显示DNS请求未收到回复，怀疑网络中的DNS不通。,DNS解析失败：问题的最终原因是由于AC侧的ACL3001规则配置不正确，业务VLAN的DNSsource地址未放通，导致“失效用户”在业务VLAN进行URL重定向时DNS解析失败。认证机制变化：问题现象是在ADCampus平台升级到7.3版本后出现的。新版本改变了认证机制，无感知认证账号状态失效后，终端直接在业务VLAN进行认证，而不再回到byodVLAN进行认证。由于byodVLAN和业务VLAN的DNS设置不同，导致DNS解析失败。华为手机认证问题：另外，华为手机在认证成功后，无感知未过期的情况下，终端漫游时每天需要重新认证几次。原因是客户在应用场景中添加了禁止第三方路由接入策略，包含华为、中兴、小米等厂商的MAC地址。删除华为策略后，问题解决。,1.放通DNSsource地址：-在AC上添加rule规则，放通业务VLAN对应的DNSsource地址，确保DNS解析请求能够正常通过。2.更新认证策略：-确保在ADCampus平台7.3版本中，无感知认证账号状态失效后，终端能够正确返回到byodVLAN进行认证，或确保业务VLAN和byodVLAN的DNS设置一致。3.删除禁止策略：-删除客户在应用场景中添加的禁止第三方路由接入策略中包含的华为厂商MAC地址，确保华为手机能够正常漫游和认证。建议实验室验证：研发团队在实验室中充分验证升级方案，特别是认证机制变化对网络配置的影响，避免其他局点在升级时遇到相同问题。更新开局手册：将此问题及其解决办法添加到开局手册中，以便其他局点在进行类似升级时能够参考。,https://zhiliao.h3c.com/Theme/details/16795,
163,在对H3CWX5540X无线控制器进行版本升级时，使用UDS（UniversalDeploymentSystem）上传ISO镜像文件的过程中，UDS卡在获取IP地址阶段，无法下载ISO镜像文件。,现场在对AC（无线控制器）进行版本升级时，需要使用UDS上传并安装ISO镜像文件。但在使用UDS时，发现UDS在获取IP地址的阶段卡住，无法继续下载ISO镜像文件。报错日志如下：```%692023/02/0110:04:23.672[TFTP_LOG]XMTFTPServer1.00.00multiportmodestart...%702023/02/0110:04:23.672[HTTP_LOG]XMHTTPServer1.00.00start...%712023/02/0110:04:23.678[PXE_DLG]VirtualISOisnotsupportedforD:\WX5500X-CMW710-R5461P01\WX5500X-CMW710-R5461P01.iso.%722023/02/0110:04:25.083[UDS_DLG]DHCPDiscovery:begintofindIndexforip=192.168.100.4mac=70-c6-dd-02-ec-41logcount=0```现场尝试重启UDS，但问题依然存在。,问题的原因在于UDS软件和ISO镜像文件的存放路径不一致。UDS软件和ISO镜像文件需要放在同一个目录下，并且不能放在外置硬盘上。,1.确认文件路径一致：确保UDS软件和ISO镜像文件位于同一个目录下。2.避免使用外置硬盘：不要将UDS软件和ISO镜像文件存放在外置硬盘上，而是放在本地硬盘的某个目录中。3.重新启动UDS：在修改路径后，重新启动UDS软件，确保其能够正确识别并上传ISO镜像文件。后续注意事项为了顺利进行WX5540X的版本升级，请参考以下链接中的升级操作指导：[H3C官方升级操作指导](http://www.h3c.com/cn/d202301/176361130005_40.htm)确保在升级过程中遵循以下步骤：1.文件路径一致：UDS软件和ISO镜像文件必须放在同一个目录下。2.本地存储：文件应存放在本地硬盘上，而不是外置硬盘。3.网络环境：确保AC设备能够正确获取IP地址，且网络环境稳定。4.UDS版本：使用最新版本的UDS软件，以避免已知的兼容性问题。,https://zhiliao.h3c.com/Theme/details/217210,
